datetime,price,long_buy,long_sell,short_sell,short_buy
 2021-07-24 00:00:02,32305.90,,,,
 2021-07-24 00:00:08,32298.88,,,,
 2021-07-24 00:00:15,32299.99,,,,
 2021-07-24 00:00:22,32307.68,,,,
 2021-07-24 00:00:29,32319.39,,,,
 2021-07-24 00:00:35,32320.59,,,,
 2021-07-24 00:00:42,32320.60,,,,
 2021-07-24 00:00:48,32320.62,,,,
 2021-07-24 00:00:55,32306.01,,,,
 2021-07-24 00:01:01,32306.23,,,,
 2021-07-24 00:01:08,32318.36,,,,
 2021-07-24 00:01:14,32319.05,,,,
 2021-07-24 00:01:21,32312.00,,,,
 2021-07-24 00:01:27,32301.36,,,,
 2021-07-24 00:01:34,32293.02,,,,
 2021-07-24 00:01:40,32291.08,,,,
 2021-07-24 00:01:47,32285.96,,,,
 2021-07-24 00:01:53,32289.44,,,,
 2021-07-24 00:02:00,32285.82,,,,
 2021-07-24 00:02:06,32280.43,,,,
 2021-07-24 00:02:13,32299.34,,,,
 2021-07-24 00:02:19,32284.78,,,,
 2021-07-24 00:02:26,32293.21,,,,
 2021-07-24 00:02:33,32280.00,,,,
 2021-07-24 00:02:39,32284.77,,,,
 2021-07-24 00:02:46,32281.42,,,,
 2021-07-24 00:02:52,32290.00,,,,
 2021-07-24 00:02:59,32288.50,,,,
 2021-07-24 00:03:05,32282.27,,,,
 2021-07-24 00:03:12,32283.41,,,,
 2021-07-24 00:03:18,32283.99,,,,
 2021-07-24 00:03:25,32280.74,,,,
 2021-07-24 00:03:32,32224.80,,,,
 2021-07-24 00:03:38,32215.82,,,,
 2021-07-24 00:03:45,32214.34,,,,
 2021-07-24 00:03:52,32228.54,,,,
 2021-07-24 00:03:59,32238.12,,,,
 2021-07-24 00:04:06,32239.00,,,,
 2021-07-24 00:04:12,32230.01,,,,
 2021-07-24 00:04:19,32214.69,,,,
 2021-07-24 00:04:25,32221.99,,,,
 2021-07-24 00:04:32,32216.01,,,,
 2021-07-24 00:04:39,32213.26,,,,
 2021-07-24 00:04:46,32194.38,,,,
 2021-07-24 00:04:54,32189.37,,,,
 2021-07-24 00:05:01,32198.38,,,,
 2021-07-24 00:05:09,32200.00,,,,
 2021-07-24 00:05:17,32207.87,,,,
 2021-07-24 00:05:25,32211.99,,,,
 2021-07-24 00:05:32,32213.89,,,,
 2021-07-24 00:05:41,32210.72,,,,
 2021-07-24 00:05:48,32208.45,,,,
 2021-07-24 00:05:56,32203.67,,,,
 2021-07-24 00:06:03,32207.39,,,,
 2021-07-24 00:06:11,32222.68,,,,
 2021-07-24 00:06:17,32227.05,,,,
 2021-07-24 00:06:24,32229.99,,,,
 2021-07-24 00:06:30,32220.85,,,,
 2021-07-24 00:06:37,32225.88,,,,
 2021-07-24 00:06:43,32191.97,,,,
 2021-07-24 00:06:51,32169.05,,,,
 2021-07-24 00:06:59,32184.99,,,,
 2021-07-24 00:07:06,32186.16,,,,
 2021-07-24 00:07:14,32185.99,,,,
 2021-07-24 00:07:21,32155.01,,,,
 2021-07-24 00:07:29,32157.00,,,,
 2021-07-24 00:07:37,32165.01,,,,
 2021-07-24 00:07:44,32160.00,,,,
 2021-07-24 00:07:52,32170.20,,,,
 2021-07-24 00:08:00,32182.03,,,,
 2021-07-24 00:08:07,32197.69,,,,
 2021-07-24 00:08:15,32196.93,,,,
 2021-07-24 00:08:23,32197.37,,,,
 2021-07-24 00:08:30,32199.99,,,,
 2021-07-24 00:08:38,32198.12,,,,
 2021-07-24 00:08:45,32199.95,,,,
 2021-07-24 00:08:52,32198.47,,,,
 2021-07-24 00:09:00,32196.66,,,,
 2021-07-24 00:09:07,32185.99,,,,
 2021-07-24 00:09:15,32176.05,,,,
 2021-07-24 00:11:15,32164.37,32164.37,,,
 2021-07-24 00:11:15,32164.37,,,32164.37,
 2021-07-24 00:11:22,32145.52,,,,
 2021-07-24 00:11:29,32149.99,,,,
 2021-07-24 00:11:35,32155.66,,,,
 2021-07-24 00:11:42,32158.12,,,,
 2021-07-24 00:11:49,32160.00,,,,
 2021-07-24 00:11:56,32162.72,,,,
 2021-07-24 00:12:02,32164.94,,,,
 2021-07-24 00:12:09,32159.16,,,,
 2021-07-24 00:12:15,32156.84,,,,
 2021-07-24 00:12:22,32146.39,,,,
 2021-07-24 00:12:29,32148.40,,,,
 2021-07-24 00:12:35,32147.72,,,,
 2021-07-24 00:12:42,32144.01,,,,
 2021-07-24 00:12:48,32144.21,,,,
 2021-07-24 00:12:55,32150.57,,,,
 2021-07-24 00:13:01,32160.02,,,,
 2021-07-24 00:13:08,32161.33,,,,
 2021-07-24 00:13:14,32154.64,,,,
 2021-07-24 00:13:21,32151.33,,,,
 2021-07-24 00:13:27,32157.58,,,,
 2021-07-24 00:13:34,32161.99,,,,
 2021-07-24 00:13:41,32152.12,,,,
 2021-07-24 00:13:47,32158.99,,,,
 2021-07-24 00:13:54,32160.41,,,,
 2021-07-24 00:14:00,32162.90,,,,
 2021-07-24 00:14:07,32160.30,,,,
 2021-07-24 00:14:14,32160.00,,,,
 2021-07-24 00:14:20,32166.70,,,,
 2021-07-24 00:14:27,32179.75,,,,
 2021-07-24 00:14:34,32183.48,,,,
 2021-07-24 00:14:40,32178.09,,,,
 2021-07-24 00:14:47,32183.78,,,,
 2021-07-24 00:14:53,32186.14,,,,
 2021-07-24 00:15:00,32184.01,,,,
 2021-07-24 00:15:06,32187.10,,,,
 2021-07-24 00:15:13,32194.82,,,,
 2021-07-24 00:15:19,32198.56,,,,
 2021-07-24 00:15:26,32186.15,,,,
 2021-07-24 00:15:33,32191.88,,,,
 2021-07-24 00:15:39,32190.99,,,,
 2021-07-24 00:15:46,32197.28,,,,
 2021-07-24 00:15:52,32191.20,,,,
 2021-07-24 00:15:59,32192.34,,,,
 2021-07-24 00:16:06,32176.36,,,,
 2021-07-24 00:16:12,32166.79,,,,
 2021-07-24 00:16:19,32164.38,,,,
 2021-07-24 00:16:25,32157.00,,,,
 2021-07-24 00:16:32,32153.61,,,,
 2021-07-24 00:16:38,32150.00,,,,
 2021-07-24 00:16:45,32149.44,,,,
 2021-07-24 00:16:51,32147.52,,,,
 2021-07-24 00:16:58,32144.89,,,,
 2021-07-24 00:17:05,32126.99,,,,
 2021-07-24 00:17:11,32133.12,,,,
 2021-07-24 00:17:18,32141.42,,,,
 2021-07-24 00:17:24,32139.72,,,,
 2021-07-24 00:17:31,32138.20,,,,
 2021-07-24 00:17:37,32136.10,,,,
 2021-07-24 00:17:44,32138.18,,,,
 2021-07-24 00:17:50,32130.00,,,,
 2021-07-24 00:17:57,32126.80,,,,
 2021-07-24 00:18:03,32121.01,,,,
 2021-07-24 00:18:10,32119.74,,,,
 2021-07-24 00:18:16,32114.75,,,,
 2021-07-24 00:18:23,32109.64,,,,
 2021-07-24 00:18:29,32112.11,,,,
 2021-07-24 00:18:36,32120.50,,,,
 2021-07-24 00:18:43,32114.91,,,,
 2021-07-24 00:18:49,32104.64,,,,
 2021-07-24 00:18:56,32069.93,,,,
 2021-07-24 00:19:02,32077.59,,,,
 2021-07-24 00:19:09,32098.00,,,,
 2021-07-24 00:19:16,32097.96,,,,
 2021-07-24 00:19:23,32086.01,,,,
 2021-07-24 00:19:29,32091.38,,,,
 2021-07-24 00:19:36,32080.03,,,,
 2021-07-24 00:19:42,32072.85,,,,
 2021-07-24 00:19:49,32072.17,,,,
 2021-07-24 00:19:55,32070.30,,,,
 2021-07-24 00:20:02,32067.85,,,,
 2021-07-24 00:20:09,32050.00,,,,
 2021-07-24 00:20:15,32075.79,,,,
 2021-07-24 00:20:22,32080.23,,,,
 2021-07-24 00:20:28,32071.50,,,,
 2021-07-24 00:20:35,32076.76,,,,
 2021-07-24 00:20:41,32067.49,,,,
 2021-07-24 00:20:48,32064.72,,,,
 2021-07-24 00:20:55,32069.73,,,,
 2021-07-24 00:21:01,32070.39,,,,
 2021-07-24 00:21:08,32067.05,,,,
 2021-07-24 00:21:14,32051.74,,,,
 2021-07-24 00:21:21,32054.25,,,,
 2021-07-24 00:21:27,32054.28,,,,
 2021-07-24 00:21:34,32050.01,,,,
 2021-07-24 00:21:41,32040.01,,,,
 2021-07-24 00:21:47,32040.01,,,,
 2021-07-24 00:21:55,32041.41,,,,
 2021-07-24 00:22:01,32007.25,,,,
 2021-07-24 00:22:08,32023.00,,,,
 2021-07-24 00:22:14,32042.60,,,,
 2021-07-24 00:22:21,32031.52,,,,
 2021-07-24 00:22:27,32034.15,,,,
 2021-07-24 00:22:34,32043.51,,,,
 2021-07-24 00:22:40,32052.14,,,,
 2021-07-24 00:22:47,32094.93,,,,
 2021-07-24 00:22:53,32087.24,,,,
 2021-07-24 00:23:00,32088.38,,,,
 2021-07-24 00:23:06,32076.68,,,,
 2021-07-24 00:23:13,32079.83,,,,
 2021-07-24 00:23:19,32087.31,,,,
 2021-07-24 00:23:26,32081.78,,,,
 2021-07-24 00:23:32,32092.77,,,,
 2021-07-24 00:23:39,32096.70,,,,
 2021-07-24 00:23:45,32105.19,,,,
 2021-07-24 00:23:52,32108.80,,,,
 2021-07-24 00:23:59,32105.01,,,,
 2021-07-24 00:24:05,32102.04,,,,
 2021-07-24 00:24:12,32083.62,,,,
 2021-07-24 00:24:18,32097.99,,,,
 2021-07-24 00:24:25,32103.58,,,,
 2021-07-24 00:24:31,32101.32,,,,
 2021-07-24 00:24:38,32095.21,,,,
 2021-07-24 00:24:44,32091.30,,,,
 2021-07-24 00:24:51,32087.89,,,,
 2021-07-24 00:24:58,32098.74,,,,
 2021-07-24 00:25:04,32088.36,,,,
 2021-07-24 00:25:11,32102.05,,,,
 2021-07-24 00:25:17,32109.54,,,,
 2021-07-24 00:25:24,32100.67,,,,
 2021-07-24 00:25:30,32106.63,,,,
 2021-07-24 00:25:37,32113.01,,,,
 2021-07-24 00:25:43,32107.00,,,,
 2021-07-24 00:25:50,32113.15,,,,
 2021-07-24 00:25:56,32119.17,,,,
 2021-07-24 00:26:03,32116.14,,,,
 2021-07-24 00:26:09,32119.99,,,,
 2021-07-24 00:26:16,32124.83,,,,
 2021-07-24 00:26:22,32128.61,,,,
 2021-07-24 00:26:29,32121.60,,,,
 2021-07-24 00:26:35,32122.17,,,,
 2021-07-24 00:26:42,32125.16,,,,
 2021-07-24 00:26:49,32128.99,,,,
 2021-07-24 00:26:55,32130.00,,,,
 2021-07-24 00:27:02,32122.75,,,,
 2021-07-24 00:27:09,32127.00,,,,
 2021-07-24 00:27:15,32130.01,,,,
 2021-07-24 00:27:22,32120.92,,,,
 2021-07-24 00:27:29,32124.28,,,,
 2021-07-24 00:27:36,32126.95,,,,
 2021-07-24 00:27:42,32126.45,,,,
 2021-07-24 00:27:49,32122.75,,,,
 2021-07-24 00:27:55,32112.64,,,,
 2021-07-24 00:28:01,32110.39,,,,
 2021-07-24 00:28:08,32106.25,,,,
 2021-07-24 00:28:14,32116.29,,,,
 2021-07-24 00:28:21,32116.76,,,,
 2021-07-24 00:28:27,32116.67,,,,
 2021-07-24 00:28:34,32115.85,,,,
 2021-07-24 00:28:41,32107.93,,,,
 2021-07-24 00:28:47,32112.00,,,,
 2021-07-24 00:28:54,32114.92,,,,
 2021-07-24 00:29:00,32113.22,,,,
 2021-07-24 00:29:07,32111.01,,,,
 2021-07-24 00:29:13,32116.67,,,,
 2021-07-24 00:29:20,32111.99,,,,
 2021-07-24 00:29:26,32114.89,,,,
 2021-07-24 00:29:33,32111.30,,,,
 2021-07-24 00:29:39,32105.49,,,,
 2021-07-24 00:29:46,32106.63,,,,
 2021-07-24 00:29:53,32106.63,,,,
 2021-07-24 00:30:00,32106.06,,,,
 2021-07-24 00:30:07,32117.18,,,,
 2021-07-24 00:30:13,32131.60,,,,
 2021-07-24 00:30:20,32128.41,,,,
 2021-07-24 00:30:27,32107.05,,,,
 2021-07-24 00:30:33,32110.63,,,,
 2021-07-24 00:30:40,32114.31,,,,
 2021-07-24 00:30:46,32111.44,,,,
 2021-07-24 00:30:53,32108.35,,,,
 2021-07-24 00:30:59,32106.78,,,,
 2021-07-24 00:31:06,32100.00,,,,
 2021-07-24 00:31:12,32086.64,,,,
 2021-07-24 00:31:19,32085.72,,,,
 2021-07-24 00:31:25,32077.26,,,,
 2021-07-24 00:31:32,32076.77,,,,
 2021-07-24 00:31:39,32071.52,,,,
 2021-07-24 00:31:46,32074.99,,,,
 2021-07-24 00:31:52,32088.55,,,,
 2021-07-24 00:31:59,32091.29,,,,
 2021-07-24 00:32:05,32100.00,,,,
 2021-07-24 00:32:12,32105.31,,,,
 2021-07-24 00:32:18,32107.87,,,,
 2021-07-24 00:32:25,32110.00,,,,
 2021-07-24 00:32:31,32118.82,,,,
 2021-07-24 00:32:38,32118.84,,,,
 2021-07-24 00:32:44,32120.79,,,,
 2021-07-24 00:32:51,32126.57,,,,
 2021-07-24 00:32:58,32128.00,,,,
 2021-07-24 00:33:04,32115.79,,,,
 2021-07-24 00:33:10,32118.83,,,,
 2021-07-24 00:33:17,32135.13,,,,
 2021-07-24 00:33:24,32128.02,,,,
 2021-07-24 00:33:30,32120.60,,,,
 2021-07-24 00:33:36,32131.29,,,,
 2021-07-24 00:33:43,32123.12,,,,
 2021-07-24 00:33:49,32123.27,,,,
 2021-07-24 00:33:56,32123.25,,,,
 2021-07-24 00:34:02,32123.58,,,,
 2021-07-24 00:34:09,32116.77,,,,
 2021-07-24 00:34:15,32116.80,,,,
 2021-07-24 00:34:22,32118.60,,,,
 2021-07-24 00:34:28,32118.14,,,,
 2021-07-24 00:34:35,32110.01,,,,
 2021-07-24 00:34:41,32111.01,,,,
 2021-07-24 00:34:48,32109.57,,,,
 2021-07-24 00:34:54,32110.00,,,,
 2021-07-24 00:35:01,32110.01,,,,
 2021-07-24 00:35:08,32123.57,,,,
 2021-07-24 00:35:14,32112.25,,,,
 2021-07-24 00:35:21,32110.62,,,,
 2021-07-24 00:35:27,32111.12,,,,
 2021-07-24 00:35:34,32112.25,,,,
 2021-07-24 00:35:40,32113.00,,,,
 2021-07-24 00:35:47,32116.81,,,,
 2021-07-24 00:35:54,32118.96,,,,
 2021-07-24 00:36:00,32119.30,,,,
 2021-07-24 00:36:07,32117.15,,,,
 2021-07-24 00:36:13,32129.99,,,,
 2021-07-24 00:36:19,32133.60,,,,
 2021-07-24 00:36:26,32130.23,,,,
 2021-07-24 00:36:33,32132.24,,,,
 2021-07-24 00:36:39,32149.16,,,,
 2021-07-24 00:36:46,32146.39,,,,
 2021-07-24 00:36:52,32147.87,,,,
 2021-07-24 00:36:59,32147.48,,,,
 2021-07-24 00:37:06,32149.47,,,,
 2021-07-24 00:37:12,32149.48,,,,
 2021-07-24 00:37:19,32149.24,,,,
 2021-07-24 00:37:26,32146.60,,,,
 2021-07-24 00:37:32,32150.00,,,,
 2021-07-24 00:37:39,32152.09,,,,
 2021-07-24 00:37:45,32159.34,,,,
 2021-07-24 00:37:52,32154.51,,,,
 2021-07-24 00:37:58,32158.01,,,,
 2021-07-24 00:38:05,32145.16,,,,
 2021-07-24 00:38:11,32149.99,,,,
 2021-07-24 00:38:18,32154.46,,,,
 2021-07-24 00:38:24,32154.47,,,,
 2021-07-24 00:38:30,32155.02,,,,
 2021-07-24 00:38:37,32150.00,,,,
 2021-07-24 00:38:43,32154.02,,,,
 2021-07-24 00:38:50,32141.01,,,,
