datetime,price,long_buy,long_sell,short_sell,short_buy
 2021-07-21 00:48:33,28910.00000000,28910.00000000,,,
 2021-07-21 00:48:43,29697.77000000,,29697.77000000,,
 2021-07-21 00:48:58,29538.47000000,29538.47000000,,,
 2021-07-21 00:49:06,29756.40000000,,29756.40000000,,
 2021-07-21 00:49:20,28860.00000000,28860.00000000,,,
 2021-07-21 00:49:30,28940.00000000,28940.00000000,,,
 2021-07-21 00:49:39,29766.27000000,,29766.27000000,,
 2021-07-21 01:04:08,29613.66000000,29613.66000000,,,
 2021-07-21 02:10:12,29780.06000000,,29780.06000000,,
 2021-07-21 02:54:16,29794.59000000,,29794.59000000,,
 2021-07-21 02:54:26,29840.00000000,29840.00000000,,,
 2021-07-21 03:34:34,29565.38000000,29565.38000000,,,
 2021-07-21 03:34:44,29823.01000000,,29823.01000000,,
 2021-07-21 04:25:13,30300.00000000,,,30300.00000000,
 2021-07-21 04:29:56,28940.00000000,28940.00000000,,,
 2021-07-21 04:29:56,28940.00000000,,,,28940.00000000
 2021-07-21 04:30:06,29925.55000000,,29925.55000000,,
 2021-07-21 04:30:06,29925.55000000,,,29925.55000000,
 2021-07-21 04:32:58,28910.00000000,28910.00000000,,,
 2021-07-21 04:32:58,28910.00000000,,,,28910.00000000
 2021-07-21 04:33:09,29909.43000000,,,29909.43000000,
 2021-07-21 04:33:18,29904.11000000,,29904.11000000,,
 2021-07-21 04:33:39,32150.00000000,,,32150.00000000,
 2021-07-21 04:33:47,29940.00000000,,,,29940.00000000
 2021-07-21 04:35:36,29839.52000000,29839.52000000,,,
 2021-07-21 04:35:46,29920.89000000,,29920.89000000,,
 2021-07-21 04:37:27,29921.03000000,29921.03000000,,,
 2021-07-21 04:37:36,29920.33000000,,29920.33000000,,
 2021-07-21 04:54:56,29810.00000000,29810.00000000,,,
 2021-07-21 04:55:06,29856.88000000,,29856.88000000,,
 2021-07-21 04:58:23,20090.00000000,,20090.00000000,,
 2021-07-21 04:58:23,20090.00000000,,,,20090.00000000
 2021-07-21 04:58:34,29861.93000000,29861.93000000,,,
 2021-07-21 04:58:51,29844.39000000,,,29844.39000000,
 2021-07-21 05:00:15,32153.85000000,,,32153.85000000,
 2021-07-21 05:00:23,29856.58000000,,,,29856.58000000
 2021-07-21 05:00:40,29589.99000000,29589.99000000,,,
 2021-07-21 05:00:49,29974.99000000,,29974.99000000,,
 2021-07-21 05:08:59,31632.65000000,,31632.65000000,,
 2021-07-21 05:08:59,31632.65000000,,,31632.65000000,
 2021-07-21 05:09:10,29899.23000000,29899.23000000,,,
 2021-07-21 05:09:10,29899.23000000,,,,29899.23000000
 2021-07-21 05:17:34,28989.99000000,28989.99000000,,,
 2021-07-21 05:17:34,28989.99000000,,,,28989.99000000
 2021-07-21 05:17:44,29769.55000000,,29769.55000000,,
 2021-07-21 05:17:44,29769.55000000,,,29769.55000000,
 2021-07-21 05:32:30,28894.55000000,28894.55000000,,,
 2021-07-21 05:32:40,29639.23000000,,29639.23000000,,
 2021-07-21 05:33:02,28999.99000000,28999.99000000,,,
 2021-07-21 05:33:11,29660.00000000,,29660.00000000,,
 2021-07-21 05:33:40,29603.60000000,,,,29603.60000000
 2021-07-21 05:33:49,29049.99000000,29049.99000000,,,
 2021-07-21 05:33:58,29601.01000000,,29601.01000000,,
 2021-07-21 05:34:33,28974.99000000,28974.99000000,,,
 2021-07-21 05:34:50,29613.45000000,,29613.45000000,,
 2021-07-21 05:54:18,29759.99000000,,,29759.99000000,
 2021-07-21 07:35:02,29769.99000000,,29769.99000000,,
 2021-07-21 08:33:39,29609.12000000,,,,29609.12000000
 2021-07-21 09:03:04,29875.00000000,,,29875.00000000,
 2021-07-21 09:15:39,29541.41000000,29541.41000000,,,
 2021-07-21 09:15:39,29541.41000000,,,,29541.41000000
 2021-07-21 09:31:04,29696.73000000,,,29696.73000000,
 2021-07-21 09:48:24,29929.79000000,,,29929.79000000,
 2021-07-21 09:48:34,29685.95000000,,,,29685.95000000
 2021-07-21 09:55:50,29900.00000000,,29900.00000000,,
 2021-07-21 12:15:20,30027.11000000,,,30027.11000000,
 2021-07-21 12:15:28,30288.92000000,,,30288.92000000,
 2021-07-21 12:15:53,30733.97000000,,,30733.97000000,
 2021-07-21 12:16:09,30424.99000000,,,,30424.99000000
 2021-07-21 12:30:12,30759.99000000,,,30759.99000000,
 2021-07-21 15:00:11,32826.54000000,,,32826.54000000,
 2021-07-21 15:00:20,30869.60000000,,,,30869.60000000
 2021-07-21 17:55:36,31000.00000000,,,31000.00000000,
 2021-07-21 17:55:45,31275.92000000,,,31275.92000000,
